task,CR,CuP,violations,outcome,status,seconds
241,False,False,2,,ok,168
243,True,False,1,,ok,55
245,False,False,1,completed,ok,73
253,False,False,1,,ok,133
240,False,False,2,,ok,155
242,False,False,2,failed,ok,123
